record_id,slice_rank,case_id,role,record_relative_l2,late_relative_l2,spectrum_high_relative_l2,receiver_relative_l2
marm_r14_extrap_left,14,extrap_left,outside_train_position_range,0.5753859877586365,0.6854255795478821,0.7494764924049377,0.48336535692214966
marm_r14_extrap_right,14,extrap_right,outside_train_position_range,0.5613635778427124,0.6784982681274414,0.6844296455383301,0.42420125007629395
marm_r14_interp_center,14,interp_center,interpolation,0.42049768567085266,0.579115092754364,0.8957264423370361,0.3379979431629181
marm_r14_interp_left_deep,14,interp_left_deep,interpolation,0.4444955289363861,0.6599506139755249,0.849831759929657,0.2751213610172272
marm_r14_interp_left_shallow,14,interp_left_shallow,interpolation,0.45458412170410156,0.6764959096908569,0.6968513131141663,0.3050217628479004
marm_r14_interp_right_deep,14,interp_right_deep,interpolation,0.4676378071308136,0.6655383706092834,0.7113931179046631,0.2692241668701172
marm_r14_interp_right_shallow,14,interp_right_shallow,interpolation,0.5192921161651611,0.7686160802841187,0.798763632774353,0.3451266884803772
marm_r15_extrap_deep,15,extrap_deep,outside_train_position_range,0.6776679158210754,0.8883402943611145,0.9275444746017456,0.6235862970352173
marm_r15_extrap_left,15,extrap_left,outside_train_position_range,0.5444654822349548,0.7290223836898804,0.6754317283630371,0.5951153635978699
marm_r15_extrap_right,15,extrap_right,outside_train_position_range,0.5158942937850952,0.7169027924537659,0.6561325788497925,0.5484310984611511
marm_r15_interp_center,15,interp_center,interpolation,0.634302020072937,0.8107315301895142,1.040174961090088,0.6439391374588013
marm_r15_interp_left_deep,15,interp_left_deep,interpolation,0.43788349628448486,0.583767294883728,0.8028972148895264,0.45619070529937744
marm_r15_interp_left_shallow,15,interp_left_shallow,interpolation,0.5339388251304626,0.6872823238372803,0.7599895000457764,0.48738011717796326
marm_r15_interp_right_deep,15,interp_right_deep,interpolation,0.4498917758464813,0.6303414702415466,0.6788341403007507,0.3323107659816742
marm_r15_interp_right_shallow,15,interp_right_shallow,interpolation,0.5632399320602417,0.7145898938179016,0.808258593082428,0.52427738904953
marm_r16_extrap_deep,16,extrap_deep,outside_train_position_range,0.6800203919410706,0.8878397345542908,0.9228789806365967,0.6371855735778809
marm_r16_extrap_left,16,extrap_left,outside_train_position_range,0.5435125827789307,0.7316020131111145,0.6635021567344666,0.5941495299339294
marm_r16_extrap_right,16,extrap_right,outside_train_position_range,0.49687886238098145,0.678638756275177,0.6689793467521667,0.4941878020763397
marm_r16_interp_center,16,interp_center,interpolation,0.615032970905304,0.7856060862541199,1.043421745300293,0.5497527718544006
marm_r16_interp_left_deep,16,interp_left_deep,interpolation,0.431901216506958,0.5941920876502991,0.8077294826507568,0.4333305358886719
marm_r16_interp_left_shallow,16,interp_left_shallow,interpolation,0.5246904492378235,0.6757155060768127,0.749416708946228,0.5152041912078857
marm_r16_interp_right_deep,16,interp_right_deep,interpolation,0.4799500107765198,0.7155306339263916,0.775161862373352,0.346123605966568
marm_r16_interp_right_shallow,16,interp_right_shallow,interpolation,0.5063778758049011,0.6285574436187744,0.791674017906189,0.5299788117408752
marm_r17_extrap_deep,17,extrap_deep,outside_train_position_range,0.6929751038551331,0.913323700428009,0.8671227693557739,0.3942367434501648
marm_r17_extrap_left,17,extrap_left,outside_train_position_range,0.5577396154403687,0.6676421761512756,0.7385170459747314,0.4939056932926178
marm_r17_extrap_right,17,extrap_right,outside_train_position_range,0.5409632325172424,0.6535778641700745,0.69330233335495,0.3947707414627075
marm_r17_interp_center,17,interp_center,interpolation,0.41376155614852905,0.5729074478149414,0.881867527961731,0.32626569271087646
marm_r17_interp_left_deep,17,interp_left_deep,interpolation,0.4508640766143799,0.6745942831039429,0.8470609188079834,0.27955085039138794
marm_r17_interp_left_shallow,17,interp_left_shallow,interpolation,0.4502059817314148,0.6738567352294922,0.7161364555358887,0.3076520264148712
marm_r17_interp_right_deep,17,interp_right_deep,interpolation,0.45682674646377563,0.6394771337509155,0.7473876476287842,0.33081963658332825
marm_r17_interp_right_shallow,17,interp_right_shallow,interpolation,0.5286440253257751,0.7791786789894104,0.7755066752433777,0.2883685529232025
marm_r18_extrap_deep,18,extrap_deep,outside_train_position_range,0.6792095899581909,0.8868337273597717,0.9442137479782104,0.6323240995407104
marm_r18_extrap_left,18,extrap_left,outside_train_position_range,0.5439190864562988,0.7312925457954407,0.6641049981117249,0.5825945138931274
marm_r18_extrap_right,18,extrap_right,outside_train_position_range,0.4851049780845642,0.6214691996574402,0.6900745630264282,0.5457094311714172
marm_r18_interp_center,18,interp_center,interpolation,0.5966553688049316,0.7634369730949402,1.0450470447540283,0.5115106105804443
marm_r18_interp_left_deep,18,interp_left_deep,interpolation,0.43175750970840454,0.5990102887153625,0.7956638932228088,0.4198826849460602
marm_r18_interp_left_shallow,18,interp_left_shallow,interpolation,0.5106757283210754,0.6581243872642517,0.7353264689445496,0.5251511931419373
marm_r18_interp_right_deep,18,interp_right_deep,interpolation,0.49022242426872253,0.7201470732688904,0.7606667280197144,0.35448554158210754
marm_r18_interp_right_shallow,18,interp_right_shallow,interpolation,0.512559175491333,0.6398530006408691,0.8033487796783447,0.5317508578300476
marm_r19_extrap_deep,19,extrap_deep,outside_train_position_range,0.7420873045921326,1.002017617225647,1.1456645727157593,0.7721817493438721
marm_r19_extrap_left,19,extrap_left,outside_train_position_range,0.6899400353431702,0.8782273530960083,0.7458545565605164,0.5612832307815552
marm_r19_extrap_right,19,extrap_right,outside_train_position_range,0.7460564374923706,0.973124623298645,1.121961236000061,0.603329062461853
marm_r19_interp_center,19,interp_center,interpolation,0.6549745798110962,0.9326856732368469,1.0351624488830566,0.5150832533836365
marm_r19_interp_left_deep,19,interp_left_deep,interpolation,0.6469651460647583,0.8935560584068298,0.9372231364250183,0.5884773135185242
marm_r19_interp_left_shallow,19,interp_left_shallow,interpolation,0.5721713304519653,0.795748233795166,0.7768759727478027,0.47672349214553833
marm_r19_interp_right_deep,19,interp_right_deep,interpolation,0.7325442433357239,0.9326297044754028,1.3244880437850952,0.4592443108558655
marm_r19_interp_right_shallow,19,interp_right_shallow,interpolation,0.6174008846282959,0.8571756482124329,0.9513517618179321,0.5369316935539246
marm_r20_extrap_deep,20,extrap_deep,outside_train_position_range,0.7328605651855469,1.001818060874939,1.0462660789489746,0.7697935104370117
marm_r20_extrap_left,20,extrap_left,outside_train_position_range,0.6901553869247437,0.8741574883460999,0.7584624886512756,0.6453548073768616
marm_r20_extrap_right,20,extrap_right,outside_train_position_range,0.7495822310447693,0.9057810306549072,1.108756422996521,0.6890450716018677
marm_r20_interp_center,20,interp_center,interpolation,0.6535564064979553,0.9151226282119751,0.9450681805610657,0.527245044708252
marm_r20_interp_left_deep,20,interp_left_deep,interpolation,0.644523561000824,0.8871150016784668,0.9374188780784607,0.5865076780319214
marm_r20_interp_left_shallow,20,interp_left_shallow,interpolation,0.5809468626976013,0.7975876927375793,0.7770853042602539,0.5103273391723633
marm_r20_interp_right_deep,20,interp_right_deep,interpolation,0.6948621869087219,0.9317747950553894,1.2286121845245361,0.5546911358833313
marm_r20_interp_right_shallow,20,interp_right_shallow,interpolation,0.6582359671592712,0.9210930466651917,0.9390658140182495,0.5209201574325562
marm_r21_extrap_deep,21,extrap_deep,outside_train_position_range,0.7488875985145569,1.0033925771713257,1.3192981481552124,0.7130240201950073
marm_r21_extrap_left,21,extrap_left,outside_train_position_range,0.6458150744438171,0.8451403975486755,0.7213775515556335,0.5452388525009155
marm_r21_extrap_right,21,extrap_right,outside_train_position_range,0.6934236288070679,0.9048798084259033,0.7816726565361023,0.6317757368087769
marm_r21_interp_center,21,interp_center,interpolation,0.6244598627090454,0.8689245581626892,1.0287346839904785,0.4865603744983673
marm_r21_interp_left_deep,21,interp_left_deep,interpolation,0.6520201563835144,0.9205062985420227,0.9550443291664124,0.5865256786346436
marm_r21_interp_left_shallow,21,interp_left_shallow,interpolation,0.5771454572677612,0.8267211318016052,0.7774065136909485,0.505222499370575
marm_r21_interp_right_deep,21,interp_right_deep,interpolation,0.6862614154815674,0.9449465274810791,1.0074172019958496,0.5274025797843933
marm_r21_interp_right_shallow,21,interp_right_shallow,interpolation,0.5416143536567688,0.7479850053787231,0.8600762486457825,0.4814816117286682
marm_r22_extrap_deep,22,extrap_deep,outside_train_position_range,0.7653009295463562,1.0012801885604858,1.3685213327407837,0.7350561618804932
marm_r22_extrap_left,22,extrap_left,outside_train_position_range,0.6305955052375793,0.8329880237579346,0.71495121717453,0.5014315843582153
marm_r22_extrap_right,22,extrap_right,outside_train_position_range,0.6890127658843994,0.8684481382369995,0.7781404852867126,0.5670781135559082
marm_r22_interp_center,22,interp_center,interpolation,0.6054984331130981,0.8310131430625916,1.0152976512908936,0.4665919542312622
marm_r22_interp_left_deep,22,interp_left_deep,interpolation,0.6514679193496704,0.9398561120033264,0.9762140512466431,0.5186232924461365
marm_r22_interp_left_shallow,22,interp_left_shallow,interpolation,0.6270291805267334,0.9133766293525696,0.8064485192298889,0.6009355783462524
marm_r22_interp_right_deep,22,interp_right_deep,interpolation,0.6504107713699341,0.9006854891777039,0.9300234317779541,0.5547342300415039
marm_r22_interp_right_shallow,22,interp_right_shallow,interpolation,0.5523331761360168,0.749481201171875,0.8524250388145447,0.48233044147491455
marm_r23_extrap_deep,23,extrap_deep,outside_train_position_range,0.7855469584465027,1.0030275583267212,1.505819320678711,0.7634106278419495
marm_r23_extrap_left,23,extrap_left,outside_train_position_range,0.7106236219406128,0.9157864451408386,0.7495162487030029,0.6275666952133179
marm_r23_extrap_right,23,extrap_right,outside_train_position_range,0.6693427562713623,0.8886008262634277,0.6976296901702881,0.579681396484375
marm_r23_interp_center,23,interp_center,interpolation,0.5769779086112976,0.7684405446052551,0.9889049530029297,0.4498870074748993
marm_r23_interp_left_deep,23,interp_left_deep,interpolation,0.6488274335861206,0.9399723410606384,1.0009946823120117,0.48929256200790405
marm_r23_interp_left_shallow,23,interp_left_shallow,interpolation,0.6152002811431885,0.8973050713539124,0.8672121167182922,0.6526252627372742
marm_r23_interp_right_deep,23,interp_right_deep,interpolation,0.6290885210037231,0.8786768913269043,0.9380294680595398,0.5074204206466675
marm_r23_interp_right_shallow,23,interp_right_shallow,interpolation,0.5739855766296387,0.7637727856636047,0.8571792244911194,0.43826791644096375
marm_r24_extrap_deep,24,extrap_deep,outside_train_position_range,0.8080325722694397,1.0213695764541626,1.2742253541946411,0.6584493517875671
marm_r24_extrap_left,24,extrap_left,outside_train_position_range,0.6145883202552795,0.8226505517959595,0.7720296382904053,0.819449245929718
marm_r24_extrap_right,24,extrap_right,outside_train_position_range,0.6572125554084778,0.8584886193275452,0.73288893699646,0.647297739982605
marm_r24_interp_center,24,interp_center,interpolation,0.5568566918373108,0.744479238986969,0.9745245575904846,0.3853011131286621
marm_r24_interp_left_deep,24,interp_left_deep,interpolation,0.6734371185302734,0.9573788642883301,1.0076392889022827,0.4725446403026581
marm_r24_interp_left_shallow,24,interp_left_shallow,interpolation,0.5700274705886841,0.8023228645324707,0.9066396951675415,0.6541969180107117
marm_r24_interp_right_deep,24,interp_right_deep,interpolation,0.6332478523254395,0.8890302181243896,0.9091455936431885,0.5667338371276855
marm_r24_interp_right_shallow,24,interp_right_shallow,interpolation,0.5886231660842896,0.7758887410163879,0.8776265382766724,0.3868599236011505
