scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,5.8,20.0,0.96450858209151,-3.5491417908489975,True
fd2,0.25,5.8,25.0,0.9686969710028176,-3.1303028997182403,True
fd2,0.25,5.8,30.0,0.9726164316029355,-2.738356839706446,True
fd2,0.25,5.8,35.0,0.9758000285689232,-2.419997143107677,True
fd2,0.25,5.8,40.0,0.9778724181831793,-2.212758181682073,True
fd2,0.25,5.8,45.0,0.9785911311504795,-2.1408868849520535,True
fd2,0.25,5.8,50.0,0.9778724181831793,-2.212758181682073,True
fd2,0.25,5.8,55.0,0.9758000285689232,-2.419997143107677,True
fd2,0.25,5.8,60.0,0.9726164316029355,-2.738356839706446,True
fd2,0.25,5.8,65.0,0.9686969710028176,-3.1303028997182403,True
fd2,0.25,5.8,70.0,0.96450858209151,-3.5491417908489975,True
fd2,0.25,5.8,75.0,0.9605562412530801,-3.9443758746919855,True
fd2,0.25,5.8,80.0,0.9573222633879812,-4.267773661201879,True
fd2,0.25,5.8,85.0,0.9552055641016536,-4.479443589834641,True
fd2,0.25,5.8,90.0,0.954469350472219,-4.553064952778096,True
fd2,0.25,5.9,0.0,0.9559890432037694,-4.401095679623057,True
fd2,0.25,5.9,5.0,0.9567005534706459,-4.3299446529354135,True
fd2,0.25,5.9,10.0,0.9587463336046802,-4.12536663953198,True
fd2,0.25,5.9,15.0,0.9618722598468414,-3.8127740153158562,True
fd2,0.25,5.9,20.0,0.9656930377915468,-3.4306962208453196,True
fd2,0.25,5.9,25.0,0.9697425881431266,-3.025741185687336,True
fd2,0.25,5.9,30.0,0.9735326603662787,-2.6467339633721276,True
fd2,0.25,5.9,35.0,0.9766115379656214,-2.338846203437861,True
fd2,0.25,5.9,40.0,0.9786159394682152,-2.1384060531784765,True
fd2,0.25,5.9,45.0,0.9793111068127435,-2.068889318725653,True
fd2,0.25,5.9,50.0,0.9786159394682152,-2.1384060531784765,True
fd2,0.25,5.9,55.0,0.9766115379656231,-2.3388462034376944,True
fd2,0.25,5.9,60.0,0.9735326603662787,-2.6467339633721276,True
fd2,0.25,5.9,65.0,0.9697425881431266,-3.025741185687336,True
fd2,0.25,5.9,70.0,0.9656930377915485,-3.430696220845153,True
fd2,0.25,5.9,75.0,0.9618722598468414,-3.8127740153158562,True
fd2,0.25,5.9,80.0,0.9587463336046802,-4.12536663953198,True
fd2,0.25,5.9,85.0,0.9567005534706459,-4.3299446529354135,True
fd2,0.25,5.9,90.0,0.9559890432037694,-4.401095679623057,True
fd2,0.25,6.0,0.0,0.9574341041944376,-4.256589580556236,True
